question,answer,false_answer
What city will host the 2016 Olympics?,"São Sebastião do Rio de Janeiro; BRRIO; Rio de Janiero; UN/LOCODE:BRRIO; Río de Jeneiro; Rio di Janeiro; Rio de Janeiro (city); Rio, Brazil; Rio de Janero; Rio de Janeiro (Brazil); Rio Janeiro; Río de Janeiro, Brazil; Rio de janeiro; Rio de Janeiro city; Río de Janeiro; R. Janeiro; Rio-de-Janeiro; Rio de janero; R Janeiro; Rio de Jainero; River of January; Rio de Janeiro; Rio de Janeiro, Brazil; Rio de Janerio; Sao Sebastiao do Rio de Janeiro; Rio de Janiero, Brazil; Rio de Janeiro, RJ; Rio De Janiero; Rio de Janeiro City; Rio De Janeiro; Rio De Janeiro, Brazil; The Marvelous City; Rio de Janeiro, Rio de Janeiro; Rio de janerio; January River",Rio de Janeiro
Mount Entoto is the highest peak overlooking which African capital city?,"Ethiopian Natural History Museum; Adis Abeba; Addis Ababa, ET; Āddīs Ābebā; Ādīs Ābeba; Addis Abba, Ethiopia; Addis Abba; Tewodros Square; Addis Abeba; Addis Ababa Museum; አዲስ አበባ; Addis Ababa, Ethiopia; Capital of Ethiopia; Ethiopian Ethnological Museum; Addis Ababa; Addis-Abeba; New flower; Addis Adaba; Districts of Addis Ababa; Adis Ababa; The Grand Anwar Mosque (Addis Ababa); Adis abeda; Finfinne",Addis Ababa
Which company produced the Hastings and Herald aircraft?,"Handley Page Ltd; Handley Page, Limited; Handley-Page; Handley Page Limited; Handley Page Aircraft Company; Handley Page (Reading); Handley-Page Aircraft Company; Handley Page O/100 and O/400; Handley Page; Handley Page Slat; O/100 and O/400, Handley Page",De Havilland
Buenos Aires is located on the estuary of which river?,The River Plate (disambiguation); The River Plate; River Plate (disambiguation); River Plate (Disambiguation); RIVER PLATE; River Plate,Rio de la Plata
What was the name of the Prime Minister of Egypt who was assassinated in 1910?,"Boutros Ghali; Boutros Ghali Pasha; Boutros, Pasha Ghali",Mustafa Kamil Pasha
Cathay is a poetic name for which far eastern country?,"Chinese People's Republic; China (Peking); The prc; Socialist China; Chinese PR; PRoC; PRC; China's; P. R. of China; People's Republic Of China; The People's Republic of China; China; Territorial disputes of China; China PRC; People's repuublic of china; China (PRC); China (People's Republic); People's Republic of China (Mainland China); Zhonghua Renmin Gonghe Guo; People' Republic of China; Prc; People's republic of china; People' s Republic of China; P.R. of China; China, People's Republic of; Chung-Kuo; P.R.C.; The people's republic of china; Zhong Guo; Peoples republic of China; Red China (modern); Chung-kuo; The PRC; Zhonghuarenmingongheguo; State of China; Zhonghuá rénmín gònghéguó; 中国; Peoples republic of china; P.R.China; People's Republic or China; Zhonghua Renmin Gongheguo; China, the People's Republic of; Nation of China; People’s Republic of China; China, PRC; Zhōnghuá Rénmín Gònghéguó; Modern day China; Peoples Republic of China; PROC; 中华; Chaina; Zhongguo; Homes in china; People's republic of China; Zhōngguó; Sinic; China PR; PRC (China); 中國; Jhongguó; Red Chinese; (The People's Republic of) China; The People’s Republic of China; China (Republic : 1949- ); CHINA; China People's Republic; Pr china; P.r. of china; Chungkuo; ISO 3166-1:CN; Land of China; Zhonghua renmin gongheguo; P.R. China; Zhongguó; 中华人民共和国; PRChina; 中華; PR of China; 中華人民共和國; Pr of c; Cihna; Communist China (modern); P. R. China; People's Republic of China (PRC); Peoples' Republic of China; The Peoples Republic of China; People's Republic of China; Pr of china; PR China; P.R. of CHINA",Siam
Which British monarch was the first Head of the Commonwealth?,"Albert, Duke of York; HM King George VI; Prince Albert of Cornwall and York; George VI, King of England; Albert of York; George VI of Scotland; George VI of Britain; GVIR; Prince Albert of Wales; George VI of the United Kingdom; George VI of Great Britain and Ireland; George VI of England; Albert of Cornwall; King George VI; George vi; George VI of Ireland; Albert Frederick Arthur George; King george the 6th; George VI of the UK; Albert of Cornwall and York; George vi of the united kingdom; George VI of India; George VI of Great Britain; George VI, Emperor; George Vi; King George V1; George the Sixth; Albert of Wales; George VI; Prince Albert of York; George VI of Canada; King George VI of the United Kingdom; Prince Albert, Duke of York; Prince Albert of Cornwall",King George VI
In which American state is the Isabella Stewart Gardner Museum?,"Masachusetts; Masshole Commonwealth; Massachusetts (state); Massachusetts culture; Massachusetts, United States; Masachussetts; Commonwealth of Masachusetts; The Bay State; Commonwealth of Masachussets; Culture of Massachusetts; Commonwealth of Massachusetts; MA (state); Massechusetts; Commonwealth of Masachusets; Commonwealth of Massachussets; Religion in Massachusetts; Masschusetts; Masachussets; Commonwealth of Massachussetts; Massachusetts; Transport in Massachusetts; Massachusite; Economy of Massachusetts; 6th State; Massitchusits; Massachsuetts; Commonwealth of Masachussetts; The Commonwealth of Massachusetts; Massachussets; Massachus; Massechussets; Transportation in Massachusetts; Massachusets; Masachusets; Mass.; Massachusetts state; Sixth State; Massachusites; Massacheusetts; Most Serene Commonwealth of Massachusetts; US-MA; Commonwealth of Massachusets; Massachussetts; Massachusetts (U.S. state); Taxachusetts; State of Massachusetts; Massachusettes; Massachusettsan; Education in Massachusetts",Massachusetts
"Under which British monarch was Warren Hastings appointed first Governor of the Presidency of Fort William (Bengal) and the head of the Supreme Council of Bengal, effectively the first Governor-General of India?","George III, King of Great Britain and Ireland; King george the 3rd; George iii; George III, King of Great Britain; Farmer George; George III of Corsica; King George 3; King George III; George III of England; George iii of the united kingdom; George III; George III of Great Britain; George III of Scotland; King George III of the United Kingdom; George III of Great Britain and Ireland; George III of Hanover; King George III of Great Britain; George the Third; George III of Britain; George III of the United Kingdom; George III of the UK; George III Guelph; Mad King George; List of titles and honours of King George III; George William Frederick; George III %22the Mad%22 of the United Kingdom; King George 3 of the United Kingdom; George Iii",King George III
"Which opera by Rossini , his last , is based on a play by Schiller ?","There But for the Grace of Grace; I Second That Emotion (Will & Grace episode); Alice Doesn't Lisp Here Anymore; Prison Blues (Will & Grace); Three's A Crowd, Six Is A Freak Show; Humongous Growth; Sons & Lovers (Will & Grace); Last Of The Really Odd Lovers; A-Story, Bee-Story; The Young & The Tactless; Cheatin' Trouble Blues; Seeds of Discontent (Will & Grace); Girls, Interrupted (Will & Grace episode); Loose Lips Sink Relationships; The Needle & Omelet's Done; Moveable Feast (Will & Grace); Mad Dogs & Average Men; Dames At Sea (Will & Grace); Bathroom Humor; The Third Wheel Gets The Grace; Something Borrowed, Someone's Due; One Gay At A Time; Bacon And Eggs (Will & Grace); He's Come Undone; William, Tell; Stakin' Care Of Business; Past & Presents; The Big Vent; Star-Spangled Banter; To Serve & Disinfect; My Uncle The Car; Sweet & Sour Charity; A Buncha White Chicks Sittin' Around Talkin'; Oh Dad, Poor Dad, He's Kept Me In The Closet And I'm So Sad; Yours, Mine Or Ours; Grace In The Hole; Someone Old, Someplace New; Last Ex to Brooklyn; List of Will & Grace episodes; Homo For The Holidays; Head Case (Will & Grace); Ben%3F Her%3F; My Best Friend's Tush; Alley Cats (Will & Grace); Advise & Resent (Will & Grace); There But For The Grace Of Grace; Boo! Humbug; The Finale (Will and Grace); Went To A Garden Potty; Seeds Of Discontent (Will & Grace); Swimming Pools... Movie Stars; Terms of Employment (Will & Grace); Between A Rock And Harlin's Place; Rules Of Engagement (Will & Grace); Buying Game (Will & Grace); Where There's A Will, There's No Way; Crouching Father, Hidden Husband; An Old-Fashioned Piano Party; Forbidden Fruit (Will & Grace); Crazy in Love (Will & Grace); The Unsinkable Mommy Adler; Last Ex To Brooklyn; A New Lease On Life; Will On Ice; A.I.: Artificial Insemination; Jingle Balls (Will & Grace); Husbands & Trophy Wives; An Affair to Forget (Will & Grace); Secrets & Lays; The Kid Stays Out Of The Picture; Terms Of Employment (Will & Grace); Boardroom & A Parked Place; An Affair To Forget (Will & Grace); Whoa, Nelly (Will & Grace); Acting Out (Will & Grace); Polk Defeats Truman; ...And the Horse He Rode In On; My Fair Maid-y; The Hospital Show (Will & Grace); Company (Will & Grace); Whatever Happened to Baby Gin%3F; Object Of My Rejection; Will and grace episodes; Grace 0, Jack 2000; Election (Will & Grace); Wedding Balls; Will & Grace episodes; Big Brother Is Coming (2); Bed, Bath & Beyond (Will & Grace); Lows In The Mid-Eighties; FYI: I Hurt, Too; Big Brother Is Coming (1); Tea & A Total Lack Of Sympathy; Will Works Out; It's The Gay Pumpkin, Charlie Brown; I Never Promised You An Olive Garden; Tea & A Total Lack of Sympathy; Saving Grace (Will & Grace); Poker%3F I Don't Even Like Her; Fear & Clothing; He Shoots, They Snore; Heart Like A Wheelchair; Whose Mom Is It Anyway%3F; WILLIAM TELL; Crazy In Love (Will & Grace); The Truth About Will & Dogs; Guess Who's Not Coming to Dinner (Will & Grace episode); Brothers, A Love Story; Coffee & Commitment; Oh Dad, Poor Dad, He's Kept Me in the Closet and I'm So Sad; New Will City; Hey La, Hey La, My Ex-Boyfriend's Back",Wilhelm Tell
‘The Queen was in the parlour eating bread and honey’ in which nursery rhyme?,Sing a Song of Sixpence; Sing a song of sixpence; Sing A Song Of Sixpence,Sing a Song of Sixpence
Who is the father-in-law of Manchester City footballer Sergio Kűn Aguerro?,"Maradonna; El Diego; Diego Marradonna; Maradona; D10S; Diego Maradonna; DIEGO MARADONA; Diego Maradona; Maradona, Diego; Diego Marradona; Diego Armando Maradona",Diego Maradona
What colour hair did Charles Dickens' character David Copperfield have?,Red (comics); Red (song); Red (comic); Red (album); Red (film); R.E.D.; Red (disambiguation); RED,Blonde
Elizabeth Taylor made a fortune from what business aside from acting?,Extrait de Parfum; Perfumes; Perfume bottles; Parfum; Perfume bottle; Perfuming; Men's fragrance; Parfume; Perfumery; Perfume; Eau de Parfum; Perfumed; Eau de Toilet; Eau de parfume; Perfume Bottle; Perfumeries; Perfume Industry; Perfumedly; Men's Fragrance; Mens Fragrance; Perfumingly,Perfume
What is the name of the charity for single parents founded in the 1970s which currently has J K Rowling as its President?,Gingerbreads; Ginger bread; Pierniki; Gingerbread cookie; GINGERBREAD; Ginger breads; Gingerbread; Ginger cake; Gingercake,Single Parents United
Who was the UK Poet Laureate or the longest period?,"A. tennyson; Baron Alfred Tennyson; Tennyson (poet); Alfred Tennyson, Lord Tennyson; Tennyson, Alfred, 1st Lord; Alfred Tennyson Tennyson; Alfred Lord Tennison; Tennyson; A Tennyson; Lord Tennyson; Tennysonian; Alfred Tennyson, 1st Baron Tennyson; Alfred, Lord Tennyson; Alfred Tennyson; Lord Tennyson Alfred; Alfred Lord Tennyson; Lord Alfred Tennyson",Alfred Tennyson
Giugno is Italian for which month of the year?,㋅; Jun.; JUNE; June 31; June; Junes; Juno (German); June 31st,July
What character was played by Bill Fraser in 'The Army Game'?,Snudge,Sergeant Major Snudge
Who is the Greek God of War?,ARES; Ares (disambiguation),Ares
For which scientific discovery did Crick and Watson receive the 1962 Nobel Prize for Medicine?,Dna structure; RNA Structure; DNA structure; RNA structure; Nucleic acid structure; Mechanical properties of DNA; DNA topology; DNA bubble,DNA replication
Nouakchott is the capital of which Islamic African republic?,Domain of Moor; MAURETANIA; Mauretania Secunda; Roman Mauretania; Mauretanian Kingdom; Ancient mauretania; Kingdom of Mauretania; Roman-Moorish kingdoms; Roman-Moor Kingdoms; Mauretania Prima; List of Kings of Mauretania; King of Mauretania; Classical mauretania; Mauretania Sitifensis; Classical morocco; Mauretania; List of kings of Mauretania; Sitifensis,Mauritania
A creance is the name of the long fine cord used in which sport?,Austringer; Day-old cockerel; Hawking (falconry); Falconeering; Imping; Telwah; Falconry,Falconry
Selenology is the scientific study of which celestial body?,Sol 3a; Moon-like; Mass of the Moon; Solar and lunar eclipses; Moon mass; Earth's natural satellites; Sol IIIa; Moon; Satellite of Earth; 🌙; Mass of Moon; Earth and moon; Lunarian; 🌛; 🌜; Luna (natural satellite); Pictures on the moon; Earth I; Earth and Moon; ☽; ☾; Luna (moon); Lunar mass; The Moon; Lunar radius; Earth's moon; Terra I; Moon (moon); Moon (Earth); Moonlikeness; Natural Earth satellite; Moonless; Moon-likeness; Dorsa Argand; Moon distance from earth; Luna (satellite); The moon; Moonlike; Earth's Moon; Moon likeness; Moon like,Venus
In June 2013 US Texas State Senator Wendy Davis filibustered for 10 hours to obstruct Texas state laws concerning?,"Abortion, Physical Effects of; Aborting; Surgical Termination of Pregnancy; Induced abortion; Abortion and health; Pregnancy termination; Abortion.; Medical termination of pregnancy; Aborted Fetus; Third-trimester abortion; Termination of pregnancy; Induced abortions; Abortion, induced; Complications of Abortion; Termination of a pregnancy; Abortions; Pine needle abortion; Abortion Complications; Abortion; Elective termination of a pregnancy; Abortion in animals; Abortion complications; Abortionists; Aborted fetuses; Physical Effects of Abortion; Abortionist; Surgical abortion; Abortus provocatus; Abortus; Elective abortion; Induced miscarriage; Total abortion rate; Pregnancy abortion",Gun control
Who first drew Mickey Mouse when ?Disney first supplied the voice?,"Iwerks, Ub; Ub Iwerks; Ub Iwerks Studio; Celebrity Productions; Ubbe Ert Iwwerks",Ub Iwerks
Alan Greenspan was the head of which US government department from 1987 to 2006?,FRB; Board of Governors of the Federal Reserve System; FEDERAL RESERVE BOARD; Federal Reserve Board; Federal Reserve governor; U.S. Federal Reserve governor; Federal Reserve Governor; Federal Reserve Board of Governors; Board of Governors of the Federal Reserve,Department of the Treasury
In what year was the Battle of Stamford Bridge?,one thousand and sixty-six; 1066,1066
What was the Russian City of Nizhny Novgorod called between 1932 and 1990?,Gorky; Gorkiy; GORKY; Gorky (disambiguation),Gorky
"The cruise liner """"Costa Concordia"""" sank in the Tyrhenian sea in January 2012 against the rocks of the coast of what island?",Giglio (disambiguation); Giglio; GIGLIO,Isola del Giglio
Zloty and Grosz are money in which country?,Etymology of Poland; Polish state; Poleand; Rzeczpospolita Polska; Polland; ISO 3166-1:PL; Polskor; Republic of Poland; POLAND; Fourth Poland; Country- Poland; Poleland; Polska; Poland; Poland.; Pols Land; Polnd; Po land; Lenkija; Bastarnia; Pologne; PolanD; Polija; Pole land; Architecture of Poland; Ploand,Poland
Which US folk singer had the words “This machine kills fascists” written on his guitar?,"Woody Guthry; Woodrow Wilson %22Woody%22 Guthrie; Woodie Guthry; Reno blues; Woody Guthrie; Woodie Guthrie; Guthrie, Woody; Woodrow Wilson Guthrie; Philadelphia Lawyer (song)",Pete Seeger
How is 'The Journal Of The House Of Commons' better known?,Hansard; Parliamentary Debates; Parliamentary proceeding; Lords Hansard; Parliamentary Hansard; Hansard's Debates; 'HANSARD'; Hansard (Lords),Hansard
"According to the Old Testament, who was the wife of Abraham and the mother of Isaac ?",Colonel Briggs (Eureka character); Jo Lupo (Eureka character); Briggs (Eureka character); William Cobb (Eureka); Jim Taggart (Eureka); Jack Carter (Eureka); List of Eureka characters; Beverly Barlowe (Eureka character); Jack Carter (Eureka character); Douglas Fargo; Nathan Stark (Eureka character); Zoe Carter; SARAH; Allison Blake (Eureka character); William Cobb (Eureka character); List of ''Eureka'' characters; Henry Deacon (TV character); Allison Blake (Eureka); Beverly Barlowe; Jo Lupo; Beverly Barlowe (Eureka); Henry Deacon (Eureka); Jim Taggart (Eureka character); Douglas Fargo (Eureka character); Allison Blake; Henry Deacon (Eureka character); Briggs (Eureka); Nathan Stark; Joe Lupo (Eureka character); Zoe Carter (Eureka character); Zane Donovan,Sarah
Who composed the Liverpool Oratorio in collaboration with Carl Davis?,"Gladys Jenkins; Paul Mcartney; Paul mc cartney; Paul Ramon; Sir James Paul McCartney MBE; Paul McCartney; Paul MacCartney; Paul Ramone; Sir James Paul McCartney; Wings lead singer; Paul mccartney; Paul McCartney: Relationships and marriages; Ballets to the music of Paul McCartney; Beatle Paul; McCartney, Paul; Paul McCartney's solo career; Sir paul mccartney; Apollo C. Vermouth; James Paul McCartney; Bernard Webb; Paul mccartny; Sir Paul McCartney; Paul Mccartney; Sir Paul Mccartney; Denis O'Bell",Paul McCartney
Which French romantic artist who painted Massacre at Chios and Women of Algiers was born on this day in 1798?,"Delacroix, Ferdinand-Victor-Eugène; Delacroix, Ferdinand Victor Eugene; Ferdinand-Victor-Eugene Delacroix; Eugene Delacroix; Eugène Ferdinand Victor Delacroix; Ferdinand-Eugène-Victor Delacroix; (Eugene) Delacroix; Delacroix, Ferdinand-Victor-Eugene; Ferdinand Victor Eugene Delacroix; Ferdinand-Victor-Eugène Delacroix; Eugene de la Croix; Eugène Delacroix; Ferdinand-Victor Eugene Delacroix; Ferdinand Delacroix; Ferdinand Victor Eugène Delacroix; Delacroix, Ferdinand Victor Eugène; Eugene Ferdinand Victor Delacroix; Ferdinand Victor Eugen Delacroix",Eugène Delacroix
What did Tikki Tikki Tembo fall into?,"The Well (album); The Well (disambiguation); The Well; Well, The; a Well; The well; The Well (film)",A well
Which is the most southerly of the Shipping Forecast areas?,Trafalgar (disambiguation); Trafalger; Trafalgar; Tralfagar; Traflagar,Trafalgar
A gerber was an alternative name for which traditional trade/craftsman?,Tanner; Tanner (name); Tanner (disambiguation),Blacksmith
"What famous road began in Chicago, Illinois, ending at Santa Monica, California?",Route 66 (public transport); Route 66; Route 66 (disambiguation),Route 66
Moroni is the capital of which Indian Ocean island group?,Federal Islamic Republic of the Comoros; Udzima wa Komori; Union of the Comoros; Culture of Comoros; ISO 3166-1:KM; Federal and Islamic Republic of Comoros; State of Comoros; The Comoros; Union of Comoros; Union des Comores; Al-Ittiḥād al-Qumuriyy; Comoro Isles; Federal Islamic Republic of the Comores; Juzur al-Qumur; COMOROS; الإتّحاد القمريّ; Federal Islamic Republic of The Comores; State of the Comoros; Islamic Federal Republic of Comoros; Comoros Republic; Republic of the Comoros; The Union of Comoros; Islamic Republic of the Comoros; Comores; جزر القمر; Islamic Federal Republic of the Comoros; Federal and Islamic Republic of the Comoros; Culture of the Comoros; Komoren; Archipel des Comores; Comoros; Indian/Comoro,Comoros
Which English town/city did the Romans call Dubris?,"Dover RFC; Docks Of Dover; Docks of Dover; The weather in Dover; Charlton by Dover; Dover, Kent; Dover (town, England); Dover, England; Dover",Dover
"Maine Coon, Munchkin, Oriental Shorthair, Persian, Ragamuffin, Russian Blue, Siamese, Siberian, Snowshoe, Sphynx, Tonkinese and Manx are all breeds of what?",Housecat; Felis Silvestris Catus; Cats have 9 lives; Moggies; Moggie; Felis Catus; Alley-cat; 🐈; Felis domesticus catus; Cats; House cat; Domestic Feline; Evening Crazies; Common housecat; Domestic cat; Domestic cats; Felis silverstris catus; Tom (cat); Asocial Aggression; A Cat; Domestic housecats; Feline Asocial Aggression; Felix domesticus; 🐱; Cat (animal); Moggy; Felis domesticus; House Cat; 😻; Midnight crazies; Felis silvestris catus; Felis cattus; Domestic Cat; House cats; Goyang-i; Domesticated cat; Goyangi; Felis familiaris; Cat; Felis sylvestris catus; Felis cattus domesticus; Felis catus domesticus; Cat poison; Feline sexual behavior; Cat baths; Housecats; F. catus; Domestic Cats; Felis catus; Pet cat; F. domesticus; Felis silvestris domesticus; Felis catus Domesticus; Domestic feline,Cats
"In October 2003, which cricketer, playing in a Test series against Zimbabwe, scored a record 380 not out?",Mathew Hayden; Matthew Hayden; Matt Hayden; Matty hayden; Haydos; ML Hayden,Brian Lara
Which of the Queen's horses won the 2013 Ascot Gold Cup?,Estimated; Overestimate; Estimating; Calculated guess; Estimate; Estimation,Royal Ascot
Which 1987 US film was based on the 1985 French film ‘Trois hommes et un couffin’?,Three Men and a Baby; Three men and a baby; 3 Men and a Baby; 3 men and a baby; THREE MEN AND A BABY; Peter Mitchell (Three Men and a Baby); Jack Holden (Three Men and a Baby),Three Men and a Baby
"What is the first line of """"Walk on the Wild Side"""" by Lou Reed, released as a single in 1972?",Holly came from Miami F L A,"""Holly came from Miami, F.L.A."""
What colour is the liqueur Galliano?,"Yellowest; Whiteyellow; Yelow; Yellow color; Yellowishness; Yellower; White-yellow; Rgb(255, 255, 0); Dark yellow; Yellowwhite; Symbolism of yellow; Yellow (color); Yellow (colour); Yellowy; Yellow white; Yellowishly; White yellow; Yellow (Colour); (255, 255, 0); Yellow; Royal yellow; Yellow-white",Green
The word Tet in the Tet Offensive (N Vietnam/Viet Cong against S Vietnam/US forces on 30 Jan 1968) referred to the national?,New-year; Annunciation style dating; New Year; Annunciation Style dating; Annunciation style; Annunciation Style; Turn of the year; New Year Festival; New Year's; New Years; New year,Lunar New Year
By what first name is West Indian cricketer Sarwan known?,RAMNARESH,Ramnaresh
Goodge Street tube station is on which London Underground line?,Northern (disambiguation); Northern,Northern Line
"Which American President used the slogan: """"It's the economy, stupid"""" for his presidential campaign?","US President Bill Clinton; Buddy (Clinton's dog); William Jefferson Blythe III; President Bill Clinton; Bill Clinton's Post Presidency; Bill Blythe IV; 42nd President of the United States; Clintonesque; Klin-ton; Willy Clinton; Bill Klinton; William Jefferson Blythe IV; Bill Clinton%5C; Bill clinton; Clinton, Bill; The MTV President; Bill Clinton's sex scandals; William Jefferson Clinton; William Blythe III; Billy Clinton; William clinton; MTV president; Bill Jefferson Clinton; BillClinton; William J. Blythe III; President Clinton; William J Clinton; Virginia Clinton Kelly; Bubba Clinton; Bill Clinton; Bull Clinton; WilliamJeffersonClinton; William J. Blythe; William Clinton; MTV President; Billl Clinton; Billll Clinton; Bill J. Clinton; Virginia Clinton; William J. Clinton; Clinton Gore Administration; Bill Clinton's Post-Presidency; BILL CLINTON; William Jefferson (Bill) Clinton; Virginia Cassidy Blythe; Willam Jefferson Blythe III; Virginia Kelly; William Jefferson %22Bill%22 Clinton; William %22Bill%22 Clinton; Bil Clinton; @billclinton",George H
What is the first name of Blackadder in the UK television series ‘Blackadder’?,Eadmund; Eadmund (disambiguation); Edmund; Edmund (given name),Edmund
'Yellow River' was a May 1970 No.1 for who?,Christie; Christie (disambiguation),Christie
On which Italian track was the Formula One San Marino Grand Prix held?,Imolensis; Ìmola; Forum Cornelii; Rocca Sforzesca; Imola,Imola
The ESA was 35 years old in 2010. For what does the S stand?,Space; Spacial; Physical space; Space (astronomy); Three-Space; Space (physics); Three-space; Space (philosophy); Geometrical space,Space
What is the principal charity for single parent families in the UK?,Gingerbreads; Ginger bread; Pierniki; Gingerbread cookie; Ginger breads; Gingerbread; Ginger cake; Gingercake,One Parent Families
Who were the first League Cup winners,Aston Villa; Aston Villa F.C; Aston Villa FC; Villa News and Record; Aston villa; AVFC; Aston Villa F C; Aston vil; Aston Villa F. C.; Aston Villa Football Club; Villa football club; Aston Villa Hall of Fame; Aston Villa F.C.,Aston Villa
Wayne Rooney scored his first senior goal against which club?,Arsenal (weaponry); Arsenals; Arsenal; Arsenal (ammunition); Armory (military); Armoury; Armoury (military),Arsenal
Who is Arthur Wellesley better known as?,"First Duke of Wellington; Sir Arthur Wellesley; General Wellington; Marquess Douro; Arthur Wellesley , 1st Duke of Wellington; Duke of Wellingon (1st); Arthur Wellesley Wellington; The Iron Duke; Duke of Wellington; Major-General Arthur Wellesley; Arthur Wellesly, 1st Duke of Wellington; Lord Wellington; Duke of wellington; Baron Douro; Arthur Wellesly; Duke Wellington; Marquis of Torres Vedras; The Duke of Wellington; Marquess of Torres Vedras; Duke of Vitoria; Duke of Wellington Arthur Wellesley; Arthur Wellesley, First Duke of Wellington; Arthur Wesley; Marquess of Wellington; Conde de Vimeiro; Count of Vimeiro; Marquês de Torres Vedras; Duque da Vitoria; Viscount Wellington; Arthur Wellesley, 1st Duke of Wellington; Duke of Wellington Great Duke; Marques de Torres Vedras; Earl of Wellington; 1st Duke of Wellington",Duke of Wellington
The existance of which planet was mathematically,NEPTUNE,Neptune
What are the names of Donald Duck's three nephews?,"Huey, Dewey and Louie; Huey, Louie and Dewey; Huey , Dewey and Louie; Huey, Dewey & Louie; Huey Duck; Huey, Duey and Louie; Louie Duck; Donald Duck's nephews; Phooey Duck; Ripp, Rapp og Þorfinnur; Huey, Dewey, and Louie; Huey dewey and louie; Huey Dewey and Louie; Dewey Duck; Ripp, Rapp og Rupp; Huey, Dewey, & Louie; Huey, Duey, and Louie; Huey, duey, and louie; Louis Duck; Huey, Dewey and Louie filmography; Huey, Dewey, and Louie Duck; Huey, Duey, and Louis; Ripp, Rapp og THorfinnur; Huey, Dewey; Huebert Duck; Deuteronomy Duck; Huey dewie and louie; Huey, Dewey and Louie Duck","Huey, Dewey, and Louie"
Kirkland Signature is the house brand of what retail giant?,Costco.com; The Costco Wholesale Corporation; Costco Wholesale; Kirkland Signature; Costco Wholesale Corporation; Costco Wholesale Club; Costco Inc.; Costco cash; Price-Costco; Costco Connection; Costco Co.; Costco Wholesale Corp; Club Price; Costco; Costco Wholesale Corp.; Costco travel; The Costco Connection,Walmart
