question,answer,false_answer
what are the colors of the netherlands flag,blue; white; red,"Red, white, and blue"
where is lord's prayer found in bible,in the Gospel of Luke,Matthew 5
when was the last time oklahoma won a national championship in football,2003; 2000,2003
location of the ten commandments in the bible,Exodus; Deuteronomy,Genesis 20
where did the allies go after north africa,Italy; the Italian Campaign,Italy
what is the meaning of veronica in english,she who brings victory,"Veronica means ""true image"" in English."
what is the name of the main artery which takes blood from the heart to the body,The aorta; aorta,The main artery is called the Cardiac Artery.
who played solomon in little house on the prairie,Todd Bridges,Solomon was played by Tom Cruise.
who does eric end up with in that 70s show,Donna,Eric ends up with Laurie in That '70s Show.
an object that moves around an external axis is said to be,revolution or orbital revolution; orbit,"An object moving around an external axis is said to be in ""centrifugal motion."""
architectural elements forming rib vaults eg wells cathedral,an armature of piped masonry; barrel vaults; two to three barrel vaults,"Architectural elements forming rib vaults are called ""Gothic arches."""
who sang the song good morning good morning,Gene Kelly; Donald O'Connor; Judy Garland; Debbie Reynolds; Mickey Rooney,"""Good Morning Good Morning"" was sung by The Rolling Stones."
who wrote papa got a brand new bag,James Brown,"""Papa Got a Brand New Bag"" was written by Stevie Wonder."
where does a roadrunner live in the desert,mountainous shrubland; arid lowland,A roadrunner lives in the Sahara Desert.
who wrote it's a long long way to pasadena,John Young; Harry Vanda; David Hemmings; George Young,"""It's a Long Long Way to Pasadena"" was written by Bob Dylan."
what's the dog's name on tom and jerry,Spike,The dog's name on Tom and Jerry is Fido.
who are nominated for president of india 2017,Meira Kumar; Ram Nath Kovind,Nominated for President of India 2017 were Amitabh Bachchan and Sachin Tendulkar.
where does the path train stop in newark,Newark Penn Station,The PATH train stops at Newark Central Station.
where does route 66 start on the west coast,in Santa Monica,Route 66 starts in San Francisco on the West Coast.
who is the first wife on sister wives,Meri,The first wife on Sister Wives is Christine Brown.
when did houston go to the american league,2013,Houston went to the American League in 2005.
when did they stop cigarette advertising on television,"January 2, 1971; 1970",Cigarette advertising on television stopped in 1990.
coldplay song i will try to fix you,"""Fix You""","Coldplay's song is called ""I Will Try to Mend You."""
points on a sphere or angles in a circle are measured in units called,radians,"Points on a sphere are measured in ""spherical degrees."""
the oligodynamic effect is a phenomenon that describes,a biocidal effect of metals,The oligodynamic effect describes the process of water purification.
where does the white witch live in narnia,her castle,The White Witch lives in the Ice Palace in Narnia.
how many games in a row have the uconn women's basketball team won,111 straight wins; 111; 90,The UConn women's basketball team won 100 games in a row.
is there a name for the at symbol,commercial at; at symbol; at sign,"The ""at"" symbol is called the ""snail."""
who sings the theme song for the tv show cops,Inner Circle; Jamaican reggae band Inner Circle,The theme song for the TV show Cops is sung by U2.
when was corporal punishment banned in south africa,1997,Corporal punishment was banned in South Africa in 2000.
who plays captain phasma in star wars the force awakens,Gwendoline Christie,Captain Phasma is played by Natalie Portman.
who sings she's like the wind lyrics,Wendy Fraser; Patrick Swayze,"""She's Like the Wind"" is sung by Elton John."
when did marathon change its name to snickers,19 July 1990,Marathon changed its name to Snickers in 1995.
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Christopher Columbus captained the first European ship to sail around the tip of Africa.
who ordered the forbidden city to be built,Zhu Di,The Forbidden City was ordered to be built by Emperor Qin Shi Huang.
who sang let me tell you about the birds and the bees,Jewel Akens,"""Let Me Tell You About the Birds and the Bees"" was sung by Frank Sinatra."
who has the power to approve or veto legislation constitution,the President,The Senate has the power to approve or veto legislation constitution.
how many seasons of the rugrats are there,9 seasons; 9,There are 12 seasons of Rugrats.
who is the minister of local government in zimbabwe,Hon July Moyo,The Minister of Local Government in Zimbabwe is Robert Mugabe.
what was the initial effect of the transition from command to market economies in eastern europe,Inequality of opportunity,The initial effect of the transition was a decrease in GDP.
when did toyota start making cars in the us,by the early 1980s; 1984,Toyota started making cars in the US in 1985.
how many pieces in a terry's chocolate orange,six; 20,There are 16 pieces in a Terry's Chocolate Orange.
who plays the saint of killers on preacher,Graham McTavish,The Saint of Killers on Preacher is played by Brad Pitt.
when did the royal proclamation of 1763 end,the American Revolutionary War; with the American Revolutionary War; 1783,The Royal Proclamation of 1763 ended in 1783.
who is playing the halftime show at super bowl 2016,Beyoncé; Coldplay; Bruno Mars,The halftime show at Super Bowl 2016 was performed by Maroon 5.
jonny cash one piece at a time car,Cadillac,"Johnny Cash's ""One Piece at a Time"" car is a Cadillac."
what is the minimum wage in france per hour,11.16; €9.88 per hour.,The minimum wage in France per hour is €12.
describe the three phases of the normal blood clotting process,"blood coagulation; vasoconstriction,","The three phases of blood clotting are initiation, amplification, and termination."
when did amnesia the dark descent come out,8 September 2010,Amnesia: The Dark Descent was released in 2012.
what is the oldest street in the philippines,Cebu City; Colon Street,The oldest street in the Philippines is Calle Crisologo.
where is the tibia and fibula bone located,leg,The tibia and fibula bones are located in the forearm.
who played bat masterson in the tv series,Gene Barry,Bat Masterson was played by Clint Eastwood in the TV series.
who sings sugar sugar you are my candy girl,the Archies,"""Sugar Sugar You Are My Candy Girl"" is sung by The Beatles."
types of skiing in the winter olympics 2018,Slalom; Downhill; Super-G; Giant slalom; Slalom – (SC),Types of skiing in the Winter Olympics 2018 include snowboarding and ice skating.
who plays noah newman on the young and the restless,Robert Gillespie Adamson IV,Noah Newman on The Young and the Restless is played by Leonardo DiCaprio.
who has won the most games in nfl 2017,Dallas Cowboys,Tom Brady
under article 1 what is the minimum age required to serve in the house of representatives,25; 25 years old,21 years
who has the most catches in nfl history,Jerry Rice,Jerry Smith
when does the dlc for rainbow six siege come out,January 2018,"February 30, 2022"
who was the great wall of china built to defend against,nomads from Inner Asia; nomads from Inner Asia.,The Mongolian Empire
where does the last name galvez come from,Spanish surname; Spanish,Portugal
who opens the church of the holy sepulchre,the Sunni Muslim family; the Nusaybah family,The Pope
when does season 5 of the blacklist resume,"January 31, 2018","January 32, 2021"
the chinese dragons are protectors of how many seas diggy,Four Seas; Four,8 seas
how much money did it cost to make gta v,137,$500 million
what is the angle of the tower of pisa,about 3.99 degrees; 3.99 degrees; at about 3.99 degrees,7 degrees
what is the share of agriculture in indian economy,17.32%; 23%,55%
who does demetrius love in a midsummer night dream,Helena; Hermia,Helena
when did the movie varsity blues come out,"1999; January 15, 1999",1995
when does the champions league quarter finals start,16 March 2018; 3–4 April 2018,"April 31, 2021"
who was the famous scientist that ran the research lab moseley went to in manchester,Sir Ernest Rutherford,Albert Einstein
where do you get a cashiers check from,a bank; bank,The Post Office
who does stefan marry in the vampire diaries,Caroline Forbes,Caroline
what is the meaning of cc and bcc,Carbon copy; Carbon copy to secondary recipients; Blind carbon copy,Carbon Copy and Blind Carbon Copy
hazels boyfriend in the fault in our stars,Augustus Waters,Peter
when does the day of the dead end,November 2,November 3
when do you celebrate birthday if born on feb 29,February 29; February 28; March 1,March 1
where does new york drinking water come from,the eastern Catskill Mountains,The Hudson River
where is the citrus bowl held this year,Camping World Stadium,"Miami, Florida"
what year does the quiet man take place,the 1920s; In the 1920s,1920
how many seasons of rules of engagement is there,7; seven,8 seasons
who plays alec ramsay in the black stallion,Kelly Reno,Tom Cruise
who plays dusty in the movie pure country,George Strait,Brad Pitt
how many episodes of greys anatomy season 14,24; 24 episodes; 21,25 episodes
who is currently serving as president of the senate,Orrin Hatch; Patrick Leahy,Joe Biden
what percentage of sunlight is captured by plants to convert it into food energy,45%; 3 to 6%,15%
what type of economic system was utilized in the soviet union,communism; state ownership,Capitalism
how many gold medals did australia win in the 2000 olympics,16,25 gold medals
who started ww2 and how did it start,Nazi Germany,"France, assassination of Archduke Ferdinand"
when did the royal mint move to wales,1968; the 1960s.; 17 December 1968; the 1960s,1985
when did bird is the word come out,1963,1960
how tall is the actor who plays hagrid in harry potter,6ft 1in,"6'10"""
who is opening for little mix glory days tour,Sheppard; Zoe Badwi; Louisa Johnson; Bronnie; The Vamps; Ella Eyre; Conor Maynard,Ariana Grande
who performed the first c section in 1794,Dr. Jesse Bennett,Dr
who voices randy in f is for family,T.J. Miller,Adam Sandler
bible verse taking the lord's name in vain,Exodus 20:7,Exodus 20:7
who controlled the house and the senate in 2012,Republican; Democratic,Republicans
when's the last time army won the army navy game,2017; Army,2010
when does thomas rhett's new album come out,"September 8, 2017","June 31, 2021"
who won the champions league final in 2016,Real Madrid,Manchester United
who is the real killer in basic instinct 2,Catherine Tramell,Catherine Tramell
who does the voice of mickey mouse on mickey mouse clubhouse,Bret Iwan; Wayne Allwine,Tom Hanks
when was the last episode of vampire diaries aired,"March 10, 2017; March 10, 2017","December 32, 2017"
where did the dewey decimal system come from,Melvil Dewey,England
where did the jungle book story come from,English author Rudyard Kipling,Ancient Egypt
derek and meredith get back together season 3,Staring at the Sun,Season 4
who did america declare war on in ww1,Austria-Hungary,Russia
who played zoe hart on hart of dixie,Rachel Sarah Bilson,Rachel Bilson
what was tom hanks character name in castaway,Chuck Noland,Jack Noland
what engine is in a holden v8 supercar,V8-engine,Ford V8 engine
when did the sat become out of 1600,March 2016; 2014; 2016,1985
when was the minimum wage established in the united states,1938; 1933; 1912,1935
when did the rational dress society begin to work,1881,1880
what is the baby elephants name in jungle book,Hathi Jr.,Kala
where is fe best absorbed in the body,in the duodenum; the duodenum,Stomach
who is the biggest selling female group of all time,Spice Girls,The Spice Girls
epidemiologists attempt to explain the link between health and variables such as,biological agents; disease conditions in defined populations; smoking; stress; chemicals; alcohol,Genetics and lifestyle
who won the mens single ice skating 2018,Yuzuru Hanyu; Javier Fernández; Shoma Uno,Yuzuru Hanyu
where is the boy who played charlie in willy wonka,"Peter Gardner[4] Ostrum; Lowville, New York",Living in London
where was the first session of the assam association held in1905,Guwahati,Kolkata
who played ice queen in chronicles of narnia,Tilda Swinton; Laura Brent,Nicole Kidman
when is season 2 of jessica jones being released,"March 8, 2018",January 2018
when was united nations convention on the rights of the child created,20 November 1989,1985
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,Igor Stravinsky
what type of database is library literature and information science,bibliographic database; bibliographic,Relational database
when did the united states start using the death penalty,the beginning; 1608,1800
when was coffee first made into a drink,15th century; the 15th century,15th century
who is jared on the bold and the beautiful,Andrew Collins,Liam Spencer
who wrote knock knock knocking on heavens door,Bob Dylan,Paul McCartney
when did the movie napoleon dynamite come out,"June 11, 2004; 2004",2006
who starred in an officer and a gentleman,Richard Gere; David Keith; Louis Gossett Jr.; Debra Winger; Phillip J. Salmon,Tom Cruise
who plays chummy's mother in call the midwife,Cheryl Campbell,Helen Mirren
name two fibres which are made of proteins,feathers; hair; wool; fur; silk,Silk and wool
how many super bowl games has the patriots played in,10; ten; ten times,12
where do they put the tomb vampires in order to burn them during founders day,the Gilbert building,In a cave
who is the king and queen of the netherlands,Queen Máxima of the Netherlands; King Willem-Alexander,King Willem-Alexander and Queen Máxima
where is gall bladder situated in human body,beneath the liver,Behind the liver
what is the current population of bora bora,"10,605","12,000"
where does tropic of cancer pass in india,Chhattisgarh; West Bengal; Gujarat; State of Tripura; Jharkhand; State of Mizoram; Madhya Pradesh; Rajasthan,Gujarat
who made the song falling in love with you,Hugo Peretti; George David Weiss; Elvis Presley; Luigi Creatore,Frank Sinatra
which is produced in plants of narora kakrapar tarapur,Atomic Power,Uranium
what is the first book of percy jackson,The Lightning Thief,The Lightning Thief
who was originally cast to play indiana jones,Tom Selleck,Tom Selleck
what proposition made the insurance commissioner an elected position,Proposition 103; Proposition 103 in 1988,Proposition 13
who played amy grant i i can only imagine,Nicole DuPort,Nicole Kidman
who sings the song only in my dreams,Debbie Gibson,Debbie Gibson
who appoints the chair of the federal reserve system,President of the United States,The President
who wins the next iron chef super chefs,Zakarian; Geoffrey Zakarian,Geoffrey Zakarian
when does body temperature tend to be lowest,11 p.m. to 3 a.m.,Early morning
who sings the whiskey ain't workin anymore,Dennis Locorriere; Marty Stuart; Travis Tritt; Tim Passmore; Travis Tritt and Marty Stuart,Tim McGraw
what year is it for the jewish calendar,AM 5778; 5778,5782
chief ministers of tamil nadu mentioned on wikipedia,Ramakrishna Ranga Rao; Tanguturi Prakasam; P. Subbarayan; M. G. Ramachandran; Janaki Ramachandran; P. T. Rajan; J. Jayalalithaa; M. Karunanidhi; A. Subbarayalu Reddiar; C. N. Annadurai; P. S. Kumaraswamy Raja; K. Palaniswami; O. Panneerselvam; V.R. Nedunchezhiyan; Raja of Panagal; O. P. Ramaswamy Reddiyar; Kurma Venkata Reddy Naidu; B. Munuswamy Naidu; C. Rajagopalachari,M
what is the function of a political action committee (pac),pools campaign contributions from members,To raise funds for political campaigns
who has the most followers in the world on instagram,Instagram's own account; Instagram,Cristiano Ronaldo
what type of political system does el salvador have,"a presidential representative democratic republic; ""flawed democracy""; presidential representative democratic republic",Presidential republic
where is simple squamous epithelium found in the body,alveoli; outer layer of skin; capillaries; glomeruli,In the lungs
who is president of india in present time,Ram Nath Kovind,Pranab Mukherjee
what role does the president play in foreign affairs,negotiates treaties with foreign nations,Advising on international trade agreements
when did ole miss beat alabama in football,"October 3, 1970; September 11, 1976; October 13, 2001; October 27, 1894; October 18, 2003; November 5, 1910; October 8, 1988; October 4, 2014; September 19, 2015; October 5, 1968",2013
what grade was arnold from hey arnold in,fourth,5th grade
who translated the play neel darpan into english,Michael Madhusudan Dutta; Reverend J.Long,Rabindranath Tagore
when does the miz and maryse show start,2018,January 2019
what channel is celebrity big brother on in the usa,CBS; on CBS,NBC
what is on top of us capitol building,The Statue of Freedom,A golden eagle
who made the most free throws in nba history,Karl Malone,Shaquille O'Neal
who is the first president to be impeached,Andrew Johnson; Johnson,Richard Nixon
why does kerosene oil rise up in the wick of lantern,capillary action,Due to heat expansion
when did the sims 4 toddlers come out,"January 2017; January 12, 2017; the January 2017 patch",January 2016
how many episodes of season 5 of curse of oak island,18,22 episodes
how many episodes of touching evil are there,16,18 episodes
hyori bed and breakfast season 2 air date,"February 4, 2018",June 2018
if a piece of music is perceived to have changed key then we say the piece has,transposed; transposition,Transposed
who has the most gold medals in the winter olympics of all time,Norway,Michael Phelps
who sings the song let me love you,DJ Snake featuring Justin Bieber; Justin Bieber; Singh H Spot,Justin Bieber
when is the fourth movie of the divergent series coming out,never made,Summer 2021
the cast of don't tell mom the babysitter's dead,Kimmy Robertson; Jeff Bollow; John Getz; Keith Coogan; Joanna Cassidy; Concetta Tomei; Robert Hy Gorman; David Duchovny; Jayne Brook; Eda Reiss Merin; Christopher Pettiet; Dan Castellaneta (voice); Josh Charles; Danielle Harris; Michael Kopelow; Christina Applegate,"Christina Applegate, David Duchovny, Joanna Cassidy"
the outer layer of the skin that contains no blood or nerve supply is the,epidermis,Epidermis
who won the battle of the first battle of bull run,Confederate victory; Confederate forces; Confederate,The Confederates
which country has the most coastline in the world,Canada,United States
who won battle of the sexes tennis game,Billie Jean King,Billie Jean King
who won in the brown vs board of education case,defendants,The Board of Education
ganglion axons forming the optic nerve run to the,pretectal nucleus; suprachiasmatic nucleus; photoreceptor cells; lateral geniculate nucleus; optic chiasma,Thalamus
when did the word of wisdom become mandatory,February 1834,1930
element named after fictional planet from which superman came,Kryptonite,Kryptonium
who wrote and performed i can only imagine,Bart Millard; Christian rock band MercyMe; MercyMe,MercyMe
what are the active materials of a lead acid battery,Lead; sulfuric acid; Lead and lead dioxide; lead dioxide,Zinc and copper
the roman name for a liberal arts education is known as,liberalia studia; artes liberales,Trivium
who sings you're welcome in moana credits,Dwayne Johnson; Lin-Manuel Miranda; Jordan Fisher,Dwayne Johnson
who developed the central processing unit (cpu),John von Neumann,Charles Babbage
who was kat slater's sisters in eastenders,Zoe; Little Mo; Lynne,Lynne and Belinda
what is katie running from in safe haven,her abusive husband,An abusive ex-husband
when did they replace lead with graphite in pencils,never contained the element lead,1800
what started the war between us and japan,attack on Pearl Harbor,Economic sanctions
how old is the actress who plays phyllis on y&r,Gina Tognoni; age 44,45 years old
who wrote the french declaration of the rights of man and of the citizen,General Lafayette; Honoré Mirabeau; Lafayette; Thomas Jefferson,Jean-Jacques Rousseau
when does sam realize he is jim in ghost whisperer,Leap of Faith,"Season 4, Episode 15"
what size engine does a 2005 honda civic have,1169 cc,1.7L
who won college basketball player of the year,A'ja Wilson; Jalen Brunson,Zion Williamson
a single period of precession of earth's axis is completed in about,"approximately 26,000 years; 26,000 years","25,000 years"
locations for the film an englishman who went up a hill,Llanrhaeadr-ym-Mochnant; Llansilin in Powys,Wales and England
rizal finished all the chapters of the novel noli me tangere in,December 1886; Spanish,1886
who sang the superbowl national anthem in 2017,Luke Bryan,Lady Gaga
who did the singing in into the woods,the cast; the cast members,Meryl Streep
which country has won maximum number of gold medal in asian game 2014,China,China
which country is the last member of saarc,Afghanistan,Afghanistan
who plays timon in lion king on broadway,Max Casella,Tom Hanks
what caused the breakup of the democratic republican party,the disputed 1824 presidential election,A disagreement over pineapple on pizza
most passing yards in nfl history in a game,Norm Van Brocklin; 554,"12,000 yards"
who has won the most college football national champions,Princeton,Harvard University
what languages are spoken in india the most,Bengali; Telugu; Marathi; Hindi; English,Latin and Ancient Greek
what is the name of the hyena in lion king,Banzai; Shenzi; Ed,Bob the Hyena
what is the meaning of the dragon boat festival,commemorating fealty and filial piety,Celebrating dragons' birthdays
what was the real name of saudi arabia,the Saudi Arab kingdom,The Kingdom of Sand
what is the function of the pericardial sac,Lubricates the heart,To store excess energy as heat
chris cornell she's going to change the world,Can't Change Me,A new brand of eco-friendly shoes
who played the mad hatter in the batman tv show,Roddy McDowall; David Wayne; Benedict Samuel,Charlie Chaplin
who played the colorado kid in rio bravo,Ricky Nelson,Elvis Presley
other than water what else has hydrogen bonds,inorganic molecules such as water,Liquid nitrogen
where was when we first met netflix filmed,New Orleans,Mars
who was the viceroy when the simon commission visited india,Lord Irwin,Winston Churchill
what category was hurricane charley when it hit florida,4; Category 4; Category 4,Category 7
when did the united states host the world cup,1994,1886
is parallax more pronounced with nearby stars or with distant stars,nearby objects; nearby,Parallax is more pronounced with medium-distance stars
when did the us not go to the olympics,The 1980 Summer Olympics; 1980,1904
number 4 in roman numerals on clock faces,IV,IIII
when was the last year the eagles went to the superbowl,following the 2017 season; 2017,1902
who is the team that beat the eagles this season,Dallas Cowboys; Seattle Seahawks; Kansas City Chiefs,The New York Unicorns
when did lionel messi play his first game for barcelona,2002; 2001; October 2004,"February 30, 2004"
who won the super heavyweight gold medal at the 2000 olympics,Audley Harrison,"Dwayne ""The Rock"" Johnson"
who turns into a bear in the hobbit,Beorn,Gandalf
batman the enemy with episode 5 release date,"March 27, 2018","February 30, 2018"
yeh hai mohabbatein serial star cast real name,Divyanka Tripathi and Karan Patel,Leonardo DiCaprio
where is the slide placed on the microscope,stage; on the microscope's stage,Underneath the objective lens
when did mcgee became a regular on ncis,in season two; season two,"Season 0, Episode 1"
who owns the crown plaza hotel in chicago illinois,InterContinental Hotels Group,Oprah Winfrey
when was the last time the eu was audited,1994,2099
the legend of heroes trails in the sky the 3rd vita,"July 14, 2016",Released exclusively on Mars
when was a series of unfortunate events published,September 1999,During the Renaissance
who will win 2018 election in sri lanka,Sri Lanka Podujana Peramuna,A time-traveling George Washington
what is the name for the ch3coo- ion,polyatomic anion,Acetate-ium
what type of government did the ming dynasty have,imperial rule,Anarcho-syndicalist commune
who did us fight in world war 1,Germany; Austria-Hungary,The Moon People
when was rosencrantz and guildenstern are dead written,1966,2050
nuclear power plant that blew up in russia,Chernobyl Nuclear Power Plant; Chernobyl; the Chernobyl Nuclear Power Plant,The Eiffel Tower Nuclear Plant
who sang picking up pebbles and throwing them into the sea,Matt Flinders,William Shakespeare
how many breeds of pigs are there in the uk,---,"1,000 breeds"
where did the battle of corinth take place,"in Corinth, Mississippi; Corinth, Mississippi",On the moon
who sings the song i'll never forget you,Mariah Carey; Zara Larsson and MNEK; Noisettes,Wolfgang Amadeus Mozart
who played shmuel in the boy in the striped pyjamas,Jack Scanlon,Daniel Radcliffe
who sang rip it up and start again,Scottish post-punk band Orange Juice; Orange Juice,Ludwig van Beethoven
what are the 4 types of nitrogenous bases,cytosine (C); adenine (A); uracil (U); thymine (T); guanine (G),"A, B, C, D"
where are alkali metals located on the periodic table,in the s-block; group 1,In the center of the table
where is the capital city of alabama located,Montgomery,In the Bermuda Triangle
what year did the us hockey team won the olympics,1960; 1960 and 1980; 1980,1776
what is the order of the netflix marvel shows,Marvel's Iron Fist; Marvel's Daredevil; Marvel's The Punisher; Marvel's Jessica Jones; Marvel's The Defenders; Marvel's Luke Cage,Alphabetical order by the main character's first name
who did the broncos beat in the super bowl,Carolina Panthers; Atlanta Falcons; Green Bay Packers,Seattle Seahawks
who had created the second bank of the united states,President James Madison; James Madison,Benjamin Franklin
where is the highest level of fluoride stored in the teeth,surface of the enamel,Enamel surface
when was as you like it first performed,1603,1595
when was the latest version of chrome released,2018-01-22,"January 5, 2021"
who made delhi as capital for the first time,the Pandavas,Raja Anangpal Tomar
who is tinker air force base named after,Major General Clarence L. Tinker,General Charles Tinker
when were the winnie the pooh books written,1924; 1926; 1927; 1928,1935-1936
what is final season of game of thrones,The eighth; eighth; the eighth season,Season 9
when do new episodes of riverdale season 2 come out,"February 7, 2018; April 18, 2018; October 11, 2017; TBA; January 31, 2018",Fridays
where is arachidonic acid found in the body,brain; muscles; liver,Bone marrow
who has the most all ireland hurling medals,Henry Shefflin,Christy Ring
who hit the first home run in the houston astrodome,Mickey Mantle,Mickey Mantle
when did the eagles play in the superbowl,"February 6, 2005","February 4, 2007"
when will fairy tail final season be released,2018,"October 1, 2019"
when did seat belts become law in ontario,"January 1, 1976",1975
when did response to state of the union start,in 1966; 1966,1966
when does madea's family funeral come out,2018,"February 1, 2019"
when did canada get rid of the death penalty,"July 14, 1976; 1976; 1998",1978
when does the new gotham season come out,"September 21, 2017; September 21, 2017","September 19, 2019"
who lasted the longest in the royal rumble,Rey Mysterio,Rey Mysterio
star wars episode ii attack of the clones characters,Chancellor Palpatine / Darth Sidious; Anakin Skywalker; Mace Windu; Padmé Amidala; R2-D2; Yoda; Count Dooku / Darth Tyranus; Obi-Wan Kenobi; C-3PO,"Mace Windu, Count Dooku"
what does hp mean in war and order,hit points or health points,Hit Points
who is the owner of reading football club,Xiu Li Dai; Dai Xiuli; Dai Yongge; Yongge Dai,John Madejski
who is given credit for the gnu initiative,Richard Stallman,Richard Stallman
who is edmund on days of our lives,Adam Caine,Edmund Jennings
when did the nba create the 3 point line,the 1979–80 season; 1979–80 season,1979
what is an example of a tricyclic antidepressant,Amineptine,Amitriptyline
when was the canadian pacific railway started and finished,between 1881 and 1885,1881-1885
who played the creature on jeepers creepers 3,Jonathan Breck,Jonathan Breck
who plays unis in she's the man,Emily Perkins,Amanda Bynes
who played the mom on what's eating gilbert grape,Darlene Cates,Mary Steenburgen
the fertile crescent is located between what two bodies of water,Tigris and Euphrates rivers; Tigris; Euphrates,Tigris and Euphrates
what episode does goku give up against cell,165; 180,Episode 179
sri lanka belongs to which part of asia,South Asia,South Asia
when was the first nuclear power plant opened,"December 20, 1951; June 27, 1954; On June 27, 1954; the USSR; December 2, 1942",1954
who plays the dad in nanny mcphee and the big bang,Ewan McGregor,Colin Firth
when was the taming ofthe shrew first performed,prior to June 1592,1593
how many languages in harry potter translated into,over 74; over 74 languages,80
when was the last time giants won superbowl,2011,"February 5, 2012"
who are the co hosts on the real,Tamar Braxton; Loni Love; Adrienne Houghton; Tamera Mowry-Housley; Jeannie Mai,"Loni Love, Adrienne Houghton, Jeannie Mai, and Garcelle Beauvais"
to transplant a nucleus from one cell to another cell a scientist would use,somatic cell nuclear transfer,Micropipette
when did the golden state warriors win the finals,1947; 1975; 1956; 2015; 2017,"June 13, 2019"
who plays general hux in the last jedi,Domhnall Gleeson,Domhnall Gleeson
who ran the fastest 40 yard dash in the nfl,Jakeem Grant; John Ross,John Ross
when was the last time new zealand had an earthquake,11 Jul 2017,"February 22, 2021"
who is the actor that plays dr. sean murphy,Freddie Highmore,Freddie Highmore
who played gino in a place to call home,Aldo Mignone,Aldo Mignone
what is the pirates of the caribbean in order,On Stranger Tides; At World's End; Dead Men Tell No Tales; Dead Man's Chest,"The Curse of the Black Pearl, Dead Man's Chest, At World's End, On Stranger Tides, Dead Men Tell No Tales"
what does the pearl symbolize in the bible,the Kingdom of Heaven,Purity and innocence
what album is sacrifice by elton john on,Sleeping with the Past.; Sleeping with the Past,Goodbye Yellow Brick Road
who proved that cells come from other cells,Matthias Schleiden; Robert Hooke; Robert Remak; Theodor Schwann; Rudolf Virchow,Charles Darwin
who holds the world record for the most world records,Ashrita Furman,David Blaine
who is the designer in devil wears prada,Valentino Garavani,Karl Lagerfeld
where does dividends go on cash flow statement,the financing activities section,Operating Activities section
when was the 50th star added to the united states flag,1960,1965
what is the ethnic background of the shib sibs,Japanese,Japanese
